UID          PID    PPID  C STIME TTY          TIME CMD
message+     933       1  0 16:07 ?        00:00:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         945       1  0 16:07 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         946       1  0 16:07 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         952       1  0 16:07 ?        00:00:00 /lib/systemd/systemd-logind
daemon       955       1  0 16:07 ?        00:00:00 /usr/sbin/atd -f
root         998       1  0 16:07 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1016       1  0 16:07 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root        1197       2  0 16:07 ?        00:00:00 [loop0]
root        1444       2  0 16:07 ?        00:00:00 [loop1]
root        1520       2  0 16:07 ?        00:00:00 [loop2]
root        2163       1  0 16:11 tty1     00:00:00 /bin/login -p --
lemon2ee    2310       1  0 16:11 ?        00:00:00 /lib/systemd/systemd --user
lemon2ee    2313    2310  0 16:11 ?        00:00:00 (sd-pam)
lemon2ee    2320    2163  0 16:11 tty1     00:00:00 -bash
root        2340    2320  0 16:11 tty1     00:00:00 sudo su
root        2343    2340  0 16:11 tty1     00:00:00 su
root        2344    2343  0 16:11 tty1     00:00:00 bash
root        2376       2  0 16:12 ?        00:00:01 [kworker/0:0-pm]
root        2406       1  0 16:13 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root        2411       2  0 16:13 ?        00:00:00 [kworker/1:0-events]
root        2425    2406  0 16:13 ?        00:00:00 sshd: root@pts/0
root        2437       1  0 16:13 ?        00:00:00 /lib/systemd/systemd --user
root        2438    2437  0 16:13 ?        00:00:00 (sd-pam)
root        2448       2  0 16:13 ?        00:00:01 [kworker/0:1-mpt_poll_0]
root        2517    2425  0 16:13 pts/0    00:00:00 -bash
root        2938       2  0 16:14 ?        00:00:00 [kworker/u256:2-events_power_efficient]
syslog      5627       1  0 16:14 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root        6407       1  0 16:14 ?        00:00:00 /lib/systemd/systemd-udevd
uuidd       6565       1  0 16:14 ?        00:00:00 /usr/sbin/uuidd --socket-activation
root        7226       2  0 16:14 ?        00:00:00 [xfsalloc]
root        7227       2  0 16:14 ?        00:00:00 [xfs_mru_cache]
root        7230       2  0 16:14 ?        00:00:00 [jfsIO]
root        7231       2  0 16:14 ?        00:00:00 [jfsCommit]
root        7232       2  0 16:14 ?        00:00:00 [jfsCommit]
root        7233       2  0 16:14 ?        00:00:00 [jfsSync]
root        8411       1  0 16:14 ?        00:00:00 /usr/bin/VGAuthService
root        8412       1  0 16:14 ?        00:00:00 /usr/bin/vmtoolsd
systemd+    8570       1  0 16:14 ?        00:00:00 /lib/systemd/systemd-networkd
systemd+    8595       1  0 16:14 ?        00:00:00 /lib/systemd/systemd-resolved
root        8600       1  0 16:14 ?        00:00:00 /lib/systemd/systemd-journald
systemd+    8698       1  0 16:14 ?        00:00:00 /lib/systemd/systemd-timesyncd
root        8815       1  0 16:15 ?        00:00:00 /usr/lib/snapd/snapd
root       21475       2  0 16:21 ?        00:00:00 [kworker/u256:0]
root       21490       2  0 16:21 ?        00:00:00 [kworker/1:1-events]
root       21519       2  0 16:22 ?        00:00:00 [kworker/1:2]
root       21714    2517  0 16:24 pts/0    00:00:00 ps -ef
